PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.Organisms	[1] Ctrl_1.raw.PG.Log2Quantity	[2] Ctrl_2.raw.PG.Log2Quantity	[3] Ctrl_3.raw.PG.Log2Quantity	[4] Ctrl_4.raw.PG.Log2Quantity	[5] Ctrl_5.raw.PG.Log2Quantity	[6] TreatA_1.raw.PG.Log2Quantity	[7] TreatA_2.raw.PG.Log2Quantity	[8] TreatA_3.raw.PG.Log2Quantity	[9] TreatA_4.raw.PG.Log2Quantity	[10] TreatA_5.raw.PG.Log2Quantity	[11] TreatB_1.raw.PG.Log2Quantity	[12] TreatB_2.raw.PG.Log2Quantity	[13] TreatB_3.raw.PG.Log2Quantity	[14] TreatB_4.raw.PG.Log2Quantity	[15] TreatB_5.raw.PG.Log2Quantity
Q5VSR9	SPANXN1	SPANX family member N1	Homo sapiens	17.329	16.998	17.26	17.264	17.751	17.829	17.089	17.648	17.215	17.581	17.409	17.123	17.755	NA	17.13
B2RDD5	RPS16	ribosomal protein S16	Homo sapiens	17.785	17.754	16.894	16.733	17.604	17.792	NA	17.769	17.509	17.453	18.762	18.314	17.802	17.584	17.257
C9J9R2	ZNF655	zinc finger protein 655	Homo sapiens	19.556	19.158	18.564	18.586	18.474	18.908	18.757	18.963	18.707	18.62	18.743	19.595	19.339	18.905	19.213
Q5T9F7	IPPK	inositol-pentakisphosphate 2-kinase	Homo sapiens	NA	NA	NA	11.775	NA	NA	NA	NA	12.324	NA	12.562	NA	NA	NA	NA
E5RIK9	MTERF3	mitochondrial transcription termination factor 3	Homo sapiens	16.297	15.698	16.273	16.241	16.649	16.479	16.014	16.732	16.004	16.286	16.219	NA	16.888	16.148	15.835
A8K352	ISLR2	immunoglobulin superfamily containing leucine rich repeat 2	Homo sapiens	17.846	17.525	17.009	17.296	17.476	17.685	17.872	18.155	17.296	17.205	17.169	17.899	17.11	18.112	17.438
P32929	CTH	cystathionine gamma-lyase	Homo sapiens	15.579	15.429	15.494	NA	15.277	NA	NA	NA	15.554	15.185	15.597	15.456	15.357	16.082	NA
Q9H5V2	LOC124900940	uncharacterized LOC124900940	Homo sapiens	NA	15.465	15.888	15.266	15.346	15.473	15.762	15.908	15.682	NA	15.458	16.038	15.106	15.766	15.78
A0A2X0SFF5	ARHGEF12	Rho guanine nucleotide exchange factor 12	Homo sapiens	17.135	16.804	16.582	16.195	16.957	16.887	16.361	17.197	16.987	16.635	17.269	17.057	17.133	16.919	16.9
Q96A98	PTH2	parathyroid hormone 2	Homo sapiens	NA	13.01	NA	13.029	NA	NA	NA	NA	12.861	NA	14.538	NA	14.754	NA	14.332
A0A1W2PP81	LOC124906479	putative TAF11-like protein ENSP00000332601	Homo sapiens	NA	NA	14.378	NA	NA	16.542	16.222	16.752	16.045	16.281	NA	NA	14.088	13.695	NA
A6NEF3	GOLGA6L4	golgin A6 family like 4	Homo sapiens	NA	15.192	NA	NA	14.34	14.987	14.696	15.437	14.462	NA	14.88	14.782	14.335	14.572	NA
Q1RMC5	CLSPN	claspin	Homo sapiens	NA	NA	14.927	14.772	15.332	15.354	NA	15.504	14.729	NA	NA	NA	NA	15.398	14.729
B3KVX6	CKAP4	cytoskeleton associated protein 4	Homo sapiens	15.415	15.283	NA	14.763	14.835	NA	NA	15.754	NA	15.159	15.751	15.582	NA	15.881	15.376
E9PR86	LDLRAD3	low density lipoprotein receptor class A domain containing 3	Homo sapiens	15.052	13.785	NA	NA	NA	14.461	14.448	NA	13.634	NA	NA	14.323	14.21	NA	14.243
Q540R4	LOC124905613	testis-specific Y-encoded protein 4-like	Homo sapiens	NA	14.141	14.896	NA	14.786	NA	NA	15.566	14.935	NA	14.508	14.921	14.984	NA	14.057
Q8NFU3	TSTD1	thiosulfate sulfurtransferase like domain containing 1	Homo sapiens	16.218	16.163	16.129	14.942	16.361	16.435	15.533	16.585	16.403	NA	16.26	16.385	16.17	15.58	15.604
A0A140VK42	PSMC3	proteasome 26S subunit, ATPase 3	Homo sapiens	17.318	17.836	17.431	16.999	17.025	18.21	17.748	17.932	17.783	17.062	17.925	17.312	17.579	18.264	17.386
B2R945	MAPK6	mitogen-activated protein kinase 6	Homo sapiens	16.96	17.262	16.326	16.301	16.511	NA	15.705	17.421	16.726	16.501	16.541	NA	16.58	16.779	16.543
Q9H4F8	SMOC1	SPARC related modular calcium binding 1	Homo sapiens	13.461	NA	12.527	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.548	13.677	12.702
A0A2X0SYS0	ARHGAP5	Rho GTPase activating protein 5	Homo sapiens	NA	NA	NA	NA	13.001	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.119
A2RUE7	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	Homo sapiens	15.96	15.496	15.622	NA	15.876	15.999	15.898	16.714	15.602	14.989	15.857	15.975	15.928	16.378	NA
A0A0U1RQG5	CT47C1	cancer/testis antigen family 47 member C1	Homo sapiens	13.926	13.439	13.966	NA	13.38	NA	NA	NA	NA	NA	13.926	13.737	NA	NA	14.069
O14544	SOCS6	suppressor of cytokine signaling 6	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.449	NA	13.664
A0AVN4	DAPK3	death associated protein kinase 3	Homo sapiens	15.519	NA	14.885	15.182	NA	15.575	NA	15.783	15.177	15.244	15.209	15.459	15.564	15.526	15.239
A0A1B0GUA5	SMIM32	small integral membrane protein 32	Homo sapiens	17.924	17.589	17.482	17.234	17.966	18.25	17.176	17.541	17.218	16.781	17.879	18.019	17.141	17.753	18.302
A1L188	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	Homo sapiens	15.912	NA	16.192	15.426	NA	15.976	16.088	16.486	15.86	15.366	NA	15.893	NA	NA	15.781
D6RA00	ENOPH1	enolase-phosphatase 1	Homo sapiens	16.608	16.69	16.777	16.181	16.611	16.65	15.88	16.631	16.676	16.397	16.253	16.088	16.974	NA	16.368
B4DEM6	TOE1	target of EGR1, exonuclease	Homo sapiens	14.347	NA	NA	NA	13.924	13.954	NA	14.466	13.803	NA	14.18	14.305	14.177	14.125	NA
P17014	ZNF12	zinc finger protein 12	Homo sapiens	NA	NA	NA	NA	12.94	NA	NA	12.78	NA	NA	NA	NA	NA	NA	NA
A0A1X7SBS4	TEAD3	TEA domain transcription factor 3	Homo sapiens	14.665	15.317	14.91	14.914	15.313	NA	14.695	15.49	15.317	NA	14.914	14.984	15.298	15.708	14.802
D6R9U3	SMIM14	small integral membrane protein 14	Homo sapiens	16.208	16.082	16.54	NA	16.355	16.214	16.026	16.838	15.859	15.814	16.06	16.478	16.241	16.414	16.395
A0A126GVA9	OR2A4	olfactory receptor family 2 subfamily A member 4	Homo sapiens	15.456	15.905	15.613	NA	15.358	18.603	18.905	18.757	17.954	18.417	17.485	17.654	17.577	18.076	17.14
A0A140VK80	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2	Homo sapiens	16.391	15.989	16.653	15.997	17.186	16.803	15.793	16.845	16.052	15.998	16.535	16.403	16.68	16.821	NA
B2R7U5	ARL8B	ARF like GTPase 8B	Homo sapiens	15.834	15.786	15.781	15.187	NA	15.462	15.365	16.345	NA	15.743	15.5	16.339	15.425	16.005	15.849
Q16281	CNGA3	cyclic nucleotide gated channel subunit alpha 3	Homo sapiens	NA	NA	NA	12.31	NA	12.68	12.026	NA	11.491	NA	NA	NA	12.625	NA	NA
A0A8V8TNA9	PSMG2	proteasome assembly chaperone 2	Homo sapiens	12.273	NA	11.922	NA	NA	NA	NA	NA	NA	NA	NA	12.547	NA	NA	NA
Q17RY6	LY6K	lymphocyte antigen 6 family member K	Homo sapiens	17.074	17.182	NA	16.497	16.692	16.351	17.269	17.72	16.324	16.968	16.98	17.225	NA	17.29	17.052
Q5JZ00	MAGEC2	MAGE family member C2	Homo sapiens	16.469	16.71	16.373	15.829	NA	16.003	15.684	17.056	15.596	16.194	16.57	16.296	15.629	16.974	NA
A4D1T3	MRPS33	mitochondrial ribosomal protein S33	Homo sapiens	NA	17.886	17.498	17.267	17.799	NA	17.62	17.615	16.968	16.993	17.23	17.34	17.941	17.517	17.096
A0A024R453	LANCL1	LanC like glutathione S-transferase 1	Homo sapiens	16.415	16.464	NA	15.905	16.606	16.291	16.188	17.106	16.146	16.014	15.894	16.725	16.687	16.467	16.016
B2R868	CNN1	calponin 1	Homo sapiens	NA	13.358	13.315	13.09	NA	13.608	12.887	13.824	12.998	13.026	NA	NA	NA	13.27	NA
Q53QU4	KCNH7	potassium voltage-gated channel subfamily H member 7	Homo sapiens	11.185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A9UGY9	ATG5	autophagy related 5	Homo sapiens	NA	12.478	NA	NA	12.296	NA	NA	12.964	NA	NA	12.009	NA	NA	NA	NA
A0A2R8YFW3	TBL1X	transducin beta like 1 X-linked	Homo sapiens	16.046	16.368	16.528	15.649	16.461	16.203	16.875	16.869	16.191	NA	15.455	16.439	16.445	16.154	16.285
B4DHK9	ACTR2	actin related protein 2	Homo sapiens	15.639	15.52	NA	15.286	14.979	15.372	15.303	15.205	15.555	14.949	15.872	NA	15.739	16.008	NA
B2RNE0	ZNF766	zinc finger protein 766	Homo sapiens	16.679	16.503	16.308	16.607	16.433	16.23	16.475	16.831	16.677	16.293	16.385	16.748	16.475	16.494	NA
Q4G0J6	UBE3D	ubiquitin protein ligase E3D	Homo sapiens	17.992	18.375	18.17	17.884	18.126	18.218	17.637	18.702	17.77	18.201	17.757	18.3	18.102	18.408	18.031
H0YN65	CHST14	carbohydrate sulfotransferase 14	Homo sapiens	NA	16.394	NA	16.188	16.728	16.628	16.479	17.539	NA	16.239	16.701	16.737	15.964	16.632	16.551
B3KQY1	KRT15	keratin 15	Homo sapiens	15.454	NA	15.283	14.537	15.105	15.171	NA	15.405	14.605	15.023	14.979	15.865	15.122	15.562	15.176
B4DQR0	TEX10	testis expressed 10	Homo sapiens	19.103	18.836	18.48	18.027	18.286	18.693	18.19	19.189	18.389	17.933	18.314	19.133	18.446	18.905	18.908
A8K6J0	LVRN	laeverin	Homo sapiens	15.425	NA	NA	15.299	15.363	15.735	14.848	16.119	15.349	NA	15.799	15.54	15.68	NA	NA
B2R5U5	EIF1AX	eukaryotic translation initiation factor 1A X-linked	Homo sapiens	NA	15.126	15.265	NA	14.866	NA	NA	NA	NA	NA	15.162	15.379	15.505	15.839	NA
A4D1U0	TAS2R5	taste 2 receptor member 5	Homo sapiens	18.194	17.623	17.964	17.841	17.996	18.533	18.488	18.416	18.611	17.758	18.351	NA	18.293	18.136	17.766
H7BYW6	PDGFA	platelet derived growth factor subunit A	Homo sapiens	16.778	17.426	16.726	16.764	17.023	17.817	17.626	17.929	17.127	16.635	17.439	NA	17.698	17.546	17.202
O00109	KRT9	keratin 9	Homo sapiens	NA	15.472	15.678	14.697	15.629	15.68	15.497	16.248	15.189	15.743	15.77	16.04	15.825	15.839	15.401
I3L3S9	CLUAP1	clusterin associated protein 1	Homo sapiens	15.387	16.555	15.549	15.618	16.133	NA	15.975	16.692	15.563	15.168	15.797	16.107	16.313	15.871	15.74
B2R4F7	H2AC6	H2A clustered histone 6	Homo sapiens	17.331	17.622	17.27	17.474	NA	18.968	17.698	18.574	17.855	18.326	17.343	17.528	17.277	17.618	16.863
Q8N3X6	LCORL	ligand dependent nuclear receptor corepressor like	Homo sapiens	16.217	16.433	15.16	15.464	16.267	16.107	15.718	16.613	16.204	15.963	15.831	15.916	16.216	16.466	NA
Q59EK5	GPKOW	G-patch domain and KOW motifs	Homo sapiens	14.191	NA	14.639	NA	NA	NA	14.219	14.592	NA	14.697	NA	14.801	NA	14.827	14.519
B2R8N8	BIRC2	baculoviral IAP repeat containing 2	Homo sapiens	16.005	16.218	16.632	16.034	16.799	16.329	16.066	17.431	16.26	NA	16.671	NA	16.872	16.939	16.839
K7ELH8	DPY19L3	dpy-19 like C-mannosyltransferase 3	Homo sapiens	14.688	NA	14.659	14.676	15.148	NA	NA	NA	NA	NA	NA	14.117	14.097	14.211	14.269
Q6UWK6	MMP27	matrix metallopeptidase 27	Homo sapiens	13.698	13.925	NA	NA	13.617	13.616	13.937	14.155	13.724	13.249	NA	14.618	NA	14.056	NA
E9PAN0	HOATZ	HOATZ cilia and flagella associated protein	Homo sapiens	17.692	18.101	17.681	17.533	17.835	18.07	17.502	18.11	17.515	17.591	18.117	17.669	17.647	17.334	17.954
I6W807	CDK19	cyclin dependent kinase 19	Homo sapiens	14.173	14.595	NA	13.838	13.803	14.646	13.863	14.724	NA	13.88	14.096	14.29	NA	14.488	14.386
B3KPN4	ZNF528	zinc finger protein 528	Homo sapiens	13.463	NA	NA	12.842	NA	12.97	NA	13.804	13.429	NA	NA	NA	NA	NA	NA
A0A384P5Q0	CAT	catalase	Homo sapiens	15.583	15.335	14.93	NA	14.619	NA	15.236	15.507	14.673	NA	NA	15.227	14.969	15.614	14.287
A0A2U7XUX1	ANTXRL	ANTXR like	Homo sapiens	13.996	13.876	NA	13.578	13.769	NA	13.552	13.971	NA	NA	NA	15.997	15.808	16.25	15.765
A2A2A8	IFT140	intraflagellar transport 140	Homo sapiens	15.765	15.317	15.245	15.128	15.031	15.65	NA	15.524	14.89	15.316	15.702	16.091	NA	15.028	15.094
A8K825	CDC42EP1	CDC42 effector protein 1	Homo sapiens	18.018	17.354	17.497	16.863	17.64	17.733	17.237	18.443	18.049	17.052	17.512	17.689	NA	18.095	17.148
A0A494C108	KRI1	KRI1 homolog	Homo sapiens	NA	NA	NA	NA	NA	13.375	12.927	NA	12.278	12.563	NA	NA	NA	NA	NA
Q6WRI0	IGSF10	immunoglobulin superfamily member 10	Homo sapiens	14.543	14.973	NA	13.782	NA	14.22	14.348	14.557	NA	NA	14.406	14.685	13.899	NA	14.362
A0A1B0GUA8	KIF13A	kinesin family member 13A	Homo sapiens	18.993	18.609	18.281	18.282	18.906	19.073	19.89	19.911	19.408	19.965	18.182	18.821	18.426	18.499	18.143
Q9BYV6	TRIM55	tripartite motif containing 55	Homo sapiens	17.237	16.719	17.368	16.507	16.596	16.826	16.338	17.861	16.832	16.937	16.985	17.125	NA	17.492	16.874
D3DPS7	EVA1B	eva-1 homolog B	Homo sapiens	16.458	15.743	16.02	15.849	15.438	NA	15.532	16.345	15.949	15.675	15.696	16.24	15.797	16.137	15.917
D3DXI6	PAOX	polyamine oxidase	Homo sapiens	14.551	NA	14.402	14.612	14.416	15.082	14.635	15.45	14.488	14.871	NA	15.215	NA	15.166	14.152
Q6ZUC4	LOC128966679	uncharacterized LOC128966679	Homo sapiens	18.537	18.594	17.671	17.927	18.402	18.073	17.778	18.168	18.179	18.304	NA	18.727	18.568	18.956	18.405
B4DRU9	ABCF3	ATP binding cassette subfamily F member 3	Homo sapiens	17.075	16.898	16.418	16.095	17.187	16.678	16.335	17.357	16.654	16.87	16.482	16.939	16.757	16.962	16.443
A0A7D9NKC8	ABI2	abl interactor 2	Homo sapiens	NA	14.022	13.721	13.657	NA	NA	NA	14.152	13.524	NA	12.958	NA	13.835	NA	13.458
A8MUW5	FAM98B	family with sequence similarity 98 member B	Homo sapiens	17.03	17.57	17.17	16.351	17.438	17.221	17.354	17.751	17.463	17.433	17.999	17.363	17.111	17.622	16.682
Q5W098	FOXP4	forkhead box P4	Homo sapiens	15.861	16.086	16.174	15.72	15.902	15.012	14.752	15.779	14.96	15.046	17.226	17.158	16.947	17.407	16.535
A0A140VJC9	LYPLA2	lysophospholipase 2	Homo sapiens	14.728	14.846	14.409	14.464	NA	NA	13.82	15.067	NA	14.28	14.901	15.458	14.353	NA	NA
A0A068F658	GBA1	glucosylceramidase beta 1	Homo sapiens	15.198	14.451	NA	NA	14.506	NA	14.593	15.064	15.137	14.455	14.534	15.181	NA	14.934	14.337
O75420	GIGYF1	GRB10 interacting GYF protein 1	Homo sapiens	12.722	12.507	NA	NA	NA	12.638	NA	NA	NA	NA	NA	NA	NA	NA	12.735
A0AV16	XPNPEP2	X-prolyl aminopeptidase 2	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	12.13	NA	NA	NA	NA	NA	NA
A0A126GWJ2	OR4A5	olfactory receptor family 4 subfamily A member 5	Homo sapiens	17.681	17.626	17.903	17.148	17.956	18.142	17.219	18.236	17.742	NA	17.385	18.066	17.002	17.989	17.469
B4E1X9	BCL2A1	BCL2 related protein A1	Homo sapiens	16.277	16.579	16.271	15.661	15.73	18.303	17.554	18.246	18.037	17.764	NA	NA	15.932	NA	15.488
H3BM13	EPGN	epithelial mitogen	Homo sapiens	NA	13.399	NA	NA	13.325	13.702	NA	NA	13.332	NA	NA	NA	13.613	13.153	13.199
E9PQ80	CHMP4A	charged multivesicular body protein 4A	Homo sapiens	16.344	16.394	16.192	16.32	16.587	16.201	16.623	16.753	NA	16.343	NA	14.501	NA	14.503	NA
Q13564	NAE1	NEDD8 activating enzyme E1 subunit 1	Homo sapiens	NA	14.524	14.267	14.379	NA	NA	14.003	14.924	NA	13.855	NA	12.767	NA	NA	NA
A8K579	PLS3	plastin 3	Homo sapiens	15.11	13.887	14.508	13.542	NA	NA	14.179	NA	14.564	NA	NA	14.353	NA	14.561	NA
Q9NZB2	FAM120A	family with sequence similarity 120 member A	Homo sapiens	16.599	16.203	NA	15.773	NA	NA	15.734	16.389	NA	15.815	16.225	16.244	16.54	16.393	15.928
A0A994J7H4	NPLOC4	NPL4 homolog, ubiquitin recognition factor	Homo sapiens	16.087	15.513	16.138	NA	16.531	16.37	15.79	16.788	16.244	15.969	15.497	NA	16.008	15.577	15.217
B2R8Q7	KCNV1	potassium voltage-gated channel modifier subfamily V member 1	Homo sapiens	15.193	14.981	15.033	14.193	14.961	NA	15.18	15.302	14.893	NA	15.519	15.341	NA	15.576	14.561
A0A024R0U3	TADA2A	transcriptional adaptor 2A	Homo sapiens	13.527	NA	NA	NA	NA	13.192	NA	NA	NA	NA	NA	NA	NA	NA	NA
B3SUG9	DRAM2	DNA damage regulated autophagy modulator 2	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	13.312	NA	NA	12.884	NA	NA	NA	NA
A0A9L9PYI1	ARHGEF1	Rho guanine nucleotide exchange factor 1	Homo sapiens	19.734	19.506	20.149	19.83	19.051	19.82	NA	20.091	19.366	19.047	19.578	20.113	19.155	19.552	19.374
B2R6I9	RUNX1T1	RUNX1 partner transcriptional co-repressor 1	Homo sapiens	16.898	16.603	16.986	NA	16.85	NA	16.984	17.127	17.261	17.499	16.673	17.333	17.847	17.346	16.647
P08574	CYC1	cytochrome c1	Homo sapiens	NA	NA	NA	NA	NA	NA	12.129	12.764	NA	NA	NA	12.412	NA	11.918	NA
A1IGU5	ARHGEF37	Rho guanine nucleotide exchange factor 37	Homo sapiens	18.828	18.663	18.745	18.523	19.01	18.828	18.901	19.21	18.134	18.111	18.99	18.944	18.563	18.95	18.386
A8K910	JAK2	Janus kinase 2	Homo sapiens	NA	13.347	13.222	NA	NA	13.512	12.945	NA	NA	NA	NA	13.494	NA	NA	NA
Q4G0X9	CCDC40	coiled-coil domain 40 molecular ruler complex subunit	Homo sapiens	14.678	14.19	NA	13.947	NA	NA	14.138	NA	NA	NA	NA	14.213	NA	NA	13.683
A8K4Z1	KAT8	lysine acetyltransferase 8	Homo sapiens	14.046	13.274	NA	NA	13.989	NA	NA	NA	NA	NA	13.545	14.233	13.6	13.736	NA
A0A1B0GTR3	CXorf51A	chromosome X open reading frame 51A	Homo sapiens	14.699	15.596	15.217	14.773	15.119	NA	14.957	15.52	15.015	14.996	NA	15.571	14.756	15.573	15.114
B4DXR1	HACL1	2-hydroxyacyl-CoA lyase 1	Homo sapiens	17.945	17.085	17.653	16.795	17.603	17.492	NA	18.118	NA	17.367	16.993	17.685	17.515	18.213	17.209
Q96EZ8	MCRS1	microspherule protein 1	Homo sapiens	13.165	NA	NA	NA	NA	NA	NA	NA	12.933	NA	NA	13.566	13.216	12.887	13.556
A0AAQ5BIF9	NFKBID	NFKB inhibitor delta	Homo sapiens	17.532	16.639	16.937	17.257	17.589	17.752	16.912	17.582	16.866	NA	16.827	16.911	16.623	17.672	17.079
B4DN03	ERI3	ERI1 exoribonuclease family member 3	Homo sapiens	16.215	NA	16.693	16.344	NA	16.363	16.403	NA	16.35	15.844	NA	16.22	NA	16.366	NA
B4DF56	MRGPRE	MAS related GPR family member E	Homo sapiens	14.876	14.213	14.562	14.057	14.835	14.11	13.904	15.033	13.789	13.736	NA	14.313	14.232	14.424	14.335
A0A1B0GW80	PLCXD2	phosphatidylinositol specific phospholipase C X domain containing 2	Homo sapiens	16.253	15.881	15.848	15.747	15.767	15.659	16.326	16.626	16.451	16.297	16.261	16.544	15.45	15.6	16.147
A0A6Q8PG57	LARGE1	LARGE xylosyl- and glucuronyltransferase 1	Homo sapiens	15.59	15.768	15.349	15.574	15.052	18.304	17.737	18.736	18.092	18.098	15.379	NA	15.523	15.25	14.943
B4E323	SPATC1L	spermatogenesis and centriole associated 1 like	Homo sapiens	13.527	14.133	NA	13.015	14.134	NA	NA	NA	13.488	13.165	NA	NA	13.319	NA	NA
X5DNI1	CRMP1	collapsin response mediator protein 1	Homo sapiens	15.986	NA	15.426	NA	15.304	15.179	15.635	16.353	15.609	15.734	16.27	16.081	15.88	15.374	15.457
A7E2E4	DPP6	dipeptidyl peptidase like 6	Homo sapiens	15.621	NA	NA	15.079	NA	NA	NA	15.373	14.635	NA	15.281	14.588	14.985	NA	15.13
A8K6K4	IL1RAP	interleukin 1 receptor accessory protein	Homo sapiens	17.902	18.042	NA	17.874	18.284	18.023	18.1	18.868	18.151	17.956	17.514	18.127	17.642	17.705	17.458
A5PKX5	MAN2A1	mannosidase alpha class 2A member 1	Homo sapiens	19.054	18.671	18.214	17.901	18.589	18.81	18.066	18.924	18.355	18.104	18.418	18.799	18.435	18.904	18.447
B3KVT7	RGS3	regulator of G protein signaling 3	Homo sapiens	15.203	NA	14.997	14.844	15.39	NA	14.913	15.9	NA	14.618	15.191	15.809	NA	15.394	14.824
A0A126GVY9	OR13C3	olfactory receptor family 13 subfamily C member 3	Homo sapiens	16.289	NA	15.942	16.299	16.031	16.66	15.925	NA	15.095	15.662	16.415	17.136	17.123	17.024	16.554
A0A087X266	TMEM120A	transmembrane protein 120A	Homo sapiens	17.946	17.698	NA	17.221	17.926	17.672	17.289	17.749	16.933	17.138	17.802	17.653	17.796	17.679	17.192
A0A087WUM3	NDUFC2-KCTD14	NDUFC2-KCTD14 readthrough	Homo sapiens	18.184	18.471	17.975	18.412	18.359	17.538	18.804	18.547	18.324	18.413	18.447	18.491	18.259	NA	18.554
B2R978	ROM1	retinal outer segment membrane protein 1	Homo sapiens	18.983	18.634	17.811	17.512	18.231	18.399	18.657	18.642	17.692	17.927	18.395	18.839	18.333	18.375	17.89
A8K981	DPT	dermatopontin	Homo sapiens	15.973	15.771	NA	NA	NA	NA	15.253	15.993	NA	15.252	16.183	15.374	15.83	NA	NA
Q6ZQT2	LOC124902171	formin-2-like	Homo sapiens	16.191	16.246	16.567	15.388	16.896	16.15	16.37	16.908	16.349	NA	16.082	16.864	16.114	16.389	15.671
A0A0C4DGR5	ZNF496	zinc finger protein 496	Homo sapiens	18.408	17.955	17.959	17.919	17.944	18.622	17.86	18.054	17.626	17.493	17.623	NA	18.071	17.64	17.815
B0YIZ8	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	Homo sapiens	18.308	18.39	18.139	17.645	NA	15.854	16.528	17.027	16.104	15.747	NA	17.086	16.706	16.176	16.445
A0A8Q3WL56	C8B	complement C8 beta chain	Homo sapiens	16.043	16.767	16.189	15.787	16.015	16.831	16.495	17.008	15.253	16.54	16.018	16.694	15.958	16.533	16.01
A0A126GW26	OR6C70	olfactory receptor family 6 subfamily C member 70	Homo sapiens	15.142	15.379	15.787	15.389	15.368	14.915	15.218	15.64	15.435	15.475	15.853	15.703	15.762	NA	15.624
A0A1C7CYV6	POU2AF2	POU class 2 homeobox associating factor 2	Homo sapiens	17.173	17.177	16.896	16.458	NA	16.904	16.773	18.036	16.737	16.708	16.66	17.32	16.89	17.433	16.974
Q86UV5	USP48	ubiquitin specific peptidase 48	Homo sapiens	16.901	16.748	16.691	16.988	16.988	17.16	16.19	17.046	16.698	16.609	17.737	17.347	17.668	17.36	16.744
A0PJT7	H3C1	H3 clustered histone 1	Homo sapiens	NA	NA	12.188	NA	NA	NA	NA	12.843	NA	11.771	NA	NA	NA	12.333	NA
Q96EY9	ADAT3	adenosine deaminase tRNA specific 3	Homo sapiens	21.241	20.778	20.563	20.33	20.372	21.595	21.544	21.131	20.639	20.683	21.316	20.704	21.019	21.32	20.081
B3KUH3	GRAMD1A	GRAM domain containing 1A	Homo sapiens	NA	15.161	14.902	NA	14.81	15.081	14.594	15.524	14.612	14.798	14.927	15.112	14.886	14.451	NA
A6NCZ5	NKIRAS2	NFKB inhibitor interacting Ras like 2	Homo sapiens	19.161	NA	18.922	18.549	18.684	19.067	18.332	19.969	19.005	18.597	19.357	18.855	19.28	19.002	18.872
B2R621	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3	Homo sapiens	14.061	14.396	14.673	NA	NA	NA	NA	NA	NA	NA	14.268	14.241	14.288	NA	NA
B4DRP8	ZNF461	zinc finger protein 461	Homo sapiens	17.86	17.1	17.657	16.972	17.363	17.954	17.584	18.099	17.261	16.69	17.765	17.856	17.93	17.557	16.951
A6XGL2	INS	insulin	Homo sapiens	16.868	NA	16.991	17.068	NA	17.227	17.125	17.631	17.093	16.761	16.706	17.16	17.446	17.927	16.967
E7EU32	MAN1A1	mannosidase alpha class 1A member 1	Homo sapiens	19.593	19.586	19.101	18.699	20.451	19.503	19.997	20.109	18.352	19.486	19.493	19.257	19.693	19.774	19.176
A0A0A0MQW3	SERPINB13	serpin family B member 13	Homo sapiens	13.903	14.317	NA	NA	NA	14.821	NA	15.163	NA	NA	14.08	14.94	15.475	14.182	NA
A4D0T7	SMIM30	small integral membrane protein 30	Homo sapiens	16.821	15.973	16.61	16.5	NA	16.772	16.994	17.363	16.954	NA	17.105	16.768	16.991	16.848	16.764
P0C6S8	LINGO3	leucine rich repeat and Ig domain containing 3	Homo sapiens	NA	16.584	NA	16.847	16.523	17.169	17.092	17.433	NA	16.457	16.735	17.053	NA	17.426	16.925
D3DN49	TFG	trafficking from ER to golgi regulator	Homo sapiens	15.996	16.57	16.272	16.026	16.245	17.052	NA	16.978	15.821	16.18	15.984	17.363	16.041	17.218	16.062
A1JUI9	WASL	WASP like actin nucleation promoting factor	Homo sapiens	19.753	20.002	19.878	20.254	19.744	19.543	19.3	20.228	19.552	19.323	19.763	20.077	20.072	19.931	19.461
A8K889	IFT22	intraflagellar transport 22	Homo sapiens	15	NA	NA	NA	14.837	NA	NA	15.51	14.539	14.746	14.776	14.934	15.022	15.364	NA
B3KRA5	CENPP	centromere protein P	Homo sapiens	NA	14.246	14.243	14.843	NA	NA	NA	15.279	NA	14.525	NA	14.869	NA	14.486	NA
B0AZU2	KIAA0930	KIAA0930	Homo sapiens	17.543	16.977	17.714	17.438	NA	17.855	17.176	17.551	17.153	16.894	16.783	18.117	NA	17.612	16.937
A0A8D9PHB2	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	Homo sapiens	17.401	17.103	17.206	16.71	NA	18.024	16.722	17.288	17.09	17.288	16.955	17.721	17.257	18.038	17.258
Q2M219	ZNF251	zinc finger protein 251	Homo sapiens	NA	NA	12.72	12.31	NA	NA	NA	13.379	NA	NA	NA	NA	NA	13.34	NA
A4D1T6	ADCK2	aarF domain containing kinase 2	Homo sapiens	16.225	16.076	16.057	15.684	NA	16.623	15.961	17.164	15.976	15.893	16.931	17.005	16.226	16.29	16.338
